Article,Date,Heading,SportsType,Location,NamesBody,NamesHeading,Organizations
"MELBOURNE: Australia cricket captain Steve Smith has pulled out of the Indian Premier League to head home for treatment on a wrist injury. Cricket Australia said Smith had laboured due to pain in his right wrist for the past week while playing for Pune in the Twenty20 tournament.""From the information we have so far, this doesnt appear to be a serious injury but we are keen to give him the time to recover and rehabilitate before heading to the West Indies at the end of May,"" CA said in a statement on Monday./>All-rounder Mitchell Marsh was also pulled from the IPL to have treatment on a side strain, CA had said on Sunday. Australia will play a one-day international tournament with West Indies and South Africa in June.",05-02-2016,Australia captain Smith heads home with wrist injury,cricket,MELBOURNE,Steve;Mitchell Marsh;Mitchell;Smith;Marsh;Steve Smith,Smith;Steve Smith,IPL
"NEW DELHI: Cricket legend Sachin Tendulkar has accepted Indian Olympic Association's (IOA) invitation to become the country's goodwill ambassador for the upcoming Rio Olympics.<br/> <br/> Tendulkar is the third goodwill ambassador roped in by IOA after Bollywood actor Salman Khan and ace shooter Abhinav Bindra.<br/> <br/> The IOA on Tuesday confirmed that Tendulkar has accepted its offer after the national Olympic body had invited the batting legend to come on board on April 29.<br/> <br/> ""Sachin Tendulkar has accepted our request to become goodwill ambassador of Indian contingent at the Olympics. We have received the official communication from him accepting our request,"" IOA Secretary General Rajiv Mehta told PTI.<br/> <br/> ""We are very happy to have an iconic sportsperson like Mr Tendulkar on board as goodwill ambassador. We are thankful to him. We hope his association and the association of other goodwill ambassadors will take Indian sport forward,"" he added.",05-03-2016,Tendulkar agrees to become Indias Olympics goodwill ambassador,cricket,NEW DELHI,Sachin Tendulkar;Rajiv Mehta;Khan;Abhinav Bindra;Mehta;Salman;Bindra;Rajiv;Abhinav;Tendulkar;Salman Khan;Sachin,Tendulkar;Sachin Tendulkar,PTI;IOA
"DUBAI: South Africa have dropped to No. 6 in the Test rankings, while Pakistan have climbed to third place, in the annual update released by the ICC on Tuesday.Australia have taken a six-point lead over second-placed India, while Pakistan trail India by only one point.England and New Zealand benefited from South Africa's drop, moving to fourth and fifth respectively. West Indies retained their eighth-place ranking but lead Bangladesh by only eight points.South Africa and West Indies lost the most points in the update, 17 and 11 respectively. The calculation process dropped results from 2012-13, while outcomes from 2014-15 were weighted at 50%. Only the latest results had 100% weightage. As a result, South Africa's series victories over England, Australia, New Zealand and Pakistan in 2012-13 were not factored in. They lost series to India and England and drew with Bangladesh in the 2015-16 season. West Indies had beaten New Zealand, Bangladesh and Zimbabwe in 2012-13 but lost to Australia and Sri Lanka in 2015-16.The update favoured Pakistan, because their 2-0 loss to Sri Lanka in August 2014 was weighted at 50%. In terms of points gained, Bangladesh made the most progress, getting ten points, followed by Australia, who gained six.Zimbabwe, ranked No. 10, have 12 points but were not included in the rankings table released by the ICC on Tuesday because they had not completed the required eight Tests in the new rating period. The ICC said Zimbabwe will be added to the table once they play two more Tests. ",05-03-2016,Pakistan rise to third in Test rankings South Africa slip to six,cricket,DUBAI,,,ICC
"CAPE TOWN: Zimbabwe will host India for three one-day internationals and three Twenty20 matches in June, the countrys cricket board said on Tuesday.All the matches will be played at Harare Sports Club with the ODIs scheduled to be played between June 11and 15 and the Twenty20s between June 18 and 22.""After finalising all the formalities with the Board of Control for Cricket in India, we are pleased to announce the incoming tour scheduled for this June,"" Zimbabwe Cricket managing director Wilfred Mukondiwa said in a statement.India have been regular travellers to Zimbabwe in recent seasons with three previous tours since 2010, including last year, all featuring limited-overs matches.",05-03-2016,India to tour Zimbabwe next month for ODIs T20,cricket,CAPE TOWN,Mukondiwa;Wilfred Mukondiwa;Wilfred,,Harare Sports Club;Board of Control for Cricket in India
"BRASILIA: The Olympic flame arrived on Tuesday in Brazil's capital where it will start a 90-day relay through 300 cities that will end with the opening of the 2016 Games in Rio de Janeiro's Maracan stadium on August 5.President Dilma Rousseff, who is facing impeachment proceedings in Congress, was due to attend the lighting of the Olympic torch at the presidential palace, though she will likely be removed from office before the opening ceremony in Rio.The Olympic flame arrived in Brasilia aboard a TAM jetliner that was escorted by two Brazilian Air Force fighters.",05-03-2016,Flame lands in Brazil for 90 day relay to G,olympics,BRASILIA,Dilma Rousseff;Dilma;Rousseff,,Congress;Air Force
"Karachi: Shahid Afridi, who has been rested and has not been named for national training camp, said he was looking forward to playing as professional in the foreseeable future and wanted to set up his cricket academy as well.I will continue to play cricket for my leagues, Afridi said in an interview with Rameez Raja for ICC Cricket 360. Ive signed with Hampshire County and will play that as well. PSL is also happening, and apart from that if I get any good opportunity I will take it. Also I would like to carry on with my charity work for my Shahid Afridi foundation and have an ambition to set up a proper academy.Afridi, who announced his ODI retirement after Pakistans quarter-final loss in the ICC Cricket World Cup 2015, continues to play the shortest format.After the teams dismal show in World Twenty-20, former Pakistan skipper Inzamam-ul-Haq has been brought in the PCB fold as chief selector. Inzamam has axed Ahmed Shahzad and Umar Akmal on the basis of their disciplinary conduct and has rested Afridi citing the reason that Pakistan will be playing few T20Is and he also wants to give chance to youngsters.When asked about the emerging talent pool in the country, Afridi said the Pakistan Super League was a great platform for youngsters keen to make a foray into the national side.The first Pakistan Super League was a great boost for Pakistan cricketers financially, and in terms of exposure as well, said Afridi.The talent is definitely there but we have to search and that will happen from academies. So we need to build proper academies in each city and the talented kids can use the facilities. Right now, the boys only learn once they get selected into the national team. For example, proper training, diving skills should be learnt at U16 and U19 level in the academies, he concluded.",05-03-2016,Afridi hopes to set up a proper cricket academy,cricket,Karachi,Raja;Ahmed;Umar;Shahzad;Umar Akmal;Akmal;Ahmed Shahzad;Rameez;Inzamam;Inzamam-ul-Haq;Rameez Raja;Ive;Shahid Afridi;Afridi;Shahid,Afridi;Shahid Afridi,Hampshire County;ICC;PSL;Pakistan Super League;PCB
"ISLAMABAD: Pakistans former fast bowler Shoaib Akhtar is enjoying pleasant weather of Islamabad after the hectic commercial and cricket related assignments abroad.He took social media to give a glimpse of his leisure time to his fans standing in shorts at hilly side of national capital on Tuesday.He writes on twitter Heatwave is hitting across Punjab in Pakistan.. But thanks GOD it's pleasant in isloo... dir=""ltr"" lang=""en"">",05-03-2016,Shoaib Akhtar chilling Islamabad hot weather,cricket,ISLAMABAD,Shoaib Akhtar;Akhtar;Shoaib,Shoaib Akhtar,
"KARACHI: Pakistans former T20 captain Shahid Afridi is out of the field but very much concerned about the future of Pakistan cricket and wants the PCB to go back to the basics and work at the grassroots level.Afridi who stepped down as the national T20 captain last month after the teams dismal shows in the Asia Cup and World T20 said he was worried that there was no real strong talent present in Pakistans domestic structure.The way I see it right now we dont have that much real talent in the background. I cant pinpoint any young player with certainty. I think the Board needs to pay attention to school cricket and work at grassroots level, he said while speaking to Geo Super, Pakistan premier sport channel.Afridi was also excluded from a month-long training camp announced for the tour to England on Monday by the national selection committee but said he had already informed the board about his non-availability.I am just focusing on T20 cricket and I had informed the board about my commitment in English county cricket this summer. But I will obviously work hard on my form and fitness in order to make the Pakistan team, Afridi said.Chief selector, Inzamam-ul-Haq also made it clear at a media conference that Afridi was not dropped and would be considered for future T20 matches but the selectors wanted to focus on young talent.Pakistan will play just one T20 in England and two more against the West Indies in UAE in October.Afridi said he was not aware why Ahmed Shehzad and Umar Akmal were dropped from the side.I dont know why they are dropped but if discipline is the reason than obviously they need to pay attention to this and work hard on their cricket. I also agree that there should be no compromise on discipline and it is time to give young players a chance, he added.Afridi said he would support any move by the selectors to improve things in Pakistan cricket.",05-03-2016,Afridi PCB grassroots level Pakistan cri,cricket,KARACHI,Ahmed;Umar;Ahmed Shehzad;Umar Akmal;Akmal;October.Afridi;Inzamam-ul-Haq;Shehzad;Shahid Afridi;Afridi;Shahid,Afridi;Shahid Afridi,Board;PCB
"LONDON: Leicester Citys Premier League title dream finally became reality as nearest pursuers Tottenham Hotspur squandered a two-goal lead to draw 2-2 in a thrilling game at Chelsea on Monday.With Leicesters players watching on television 160km away in the East Midlands, first-half goals from Tottenhams Harry Kane and Son Heung-min looked like extending the title race to the penultimate weekend of an unforgettable season.But after the break Gary Cahill gave Chelsea a lifeline and Eden Hazards superb equaliser effectively handed the title to Leicester and their former Chelsea manager Claudio Ranieri.With two games left, Leicester are an unassailable seven points of second-placed Tottenham with their title triumph sparking joyous scenes across the East Midlands city.Leicester, 5,000-1 outsiders at the start of the season, are champions for the first time and the first team to win a maiden English title since Nottingham Forest in 1978, having left the likes of Manchester City, Chelsea and Arsenal in their wake.Strangely the biggest match in Leicesters history was one they were not involved in as the final act of an absorbing title race was played out in west London between last years champions and a Tottenham side who have refused to give up the chase.But Claudio Ranieris intrepid Foxes had already done the damage, churning out consistent results to stay on top of the table since Jan. 23 as their rivals fell by the wayside.",05-03-2016,Leicester claim Premier League title as Spurs held,football,LONDON,Gary;Claudio Ranieri.With;Cahill;Harry;Ranieri.With;Ranieris;Kane;Tottenhams Harry Kane;Gary Cahill;Claudio;Chelsea;Tottenhams;Claudio Ranieris,,Tottenham Hotspur;Leicester Citys Premier League;Arsenal;Chelsea;Nottingham Forest;Tottenham
"LONDON: Australian Nick Kyrgios let his tennis do the talking against Stanislas Wawrinka as he knocked the fourth seed out of the Madrid Open with a scintillating display on Wednesday.Last year the 20-year-old got a suspended 28-day ban and $25,000 fine after making lurid remarks about Swiss Wawrinkas girlfriend during their match at the Rogers Cup in Montreal.Kyrgios, who has had several brushes with authority, was widely criticised, but his 7-6(7) 7-6(2) second round victory on Wednesday was further proof of a growing maturity after he won his first ATP title earlier this year in Marseille.There was the odd outburst at the umpire, one after a first serve during the first-set tiebreak was called out despite appearing to clip the line, but Kyrgios kept his emotions in check to edge a tight tussle.Japans Kei Nishikori, the sixth seed, had a narrow escape before joining Kyrgios in the third round.Italys Fabio Fognini recovered from losing the opening set to level the match and served for the match at 5-4 in the decider before imploding.Nishikori won 6-2 3-6 7-5 to set up a meeting with Frenchman Richard Gasquet.",05-04-2016,Maturing Kyrgios knocks Wawrinka out of Madrid O,tennis,LONDON,Stanislas;Fabio;Nick;Gasquet;Nishikori;Fognini;Wawrinka;Kei Nishikori;Kyrgios;Kei;Stanislas Wawrinka;Nick Kyrgios;Richard;Richard Gasquet;Fabio Fognini,Maturing Kyrgios;Wawrinka;Stanislas Wawrinka,Rogers Cup in Montreal.Kyrgios;Kyrgios
"KARACHI: Azhar Ali and his men now have a daunting task to retain its ranking in the Top Eight after being pushed out of the elite club following annual update since only the top eight sides on September 30, 2017 will qualify directly for crickets biggest event World Cup.If ninth placed Pakistan fails to squeeze into Top Eight by the cut-off date then it will have to join the top sides from the ICC World Cricket League along with three other bottom ranked sides in the ICC Cricket World Cup Qualifier 2018 to fight for the two remaining positions.West Indies has exchanged places with Pakistan after results from 2012-13 have been dropped, while results from 2014-15 have been reduced to a weighting of 50 per cent.Although there will be another ODI team rankings annual update prior to this cut-off date, it is significant that from now on the results of all ODIs that will affect qualification will be weighted at 100 per cent whereas matches played between May 2014 and April 2016 will by then be weighted at only 50 per cent.All the teams bunched together in the middle of the table will have to win as many matches as possible in the forthcoming season, knowing it will help ensure direct qualification for the ICC Cricket World Cup 2019, which will be staged from May 30 to July 15 in the United Kingdom.Meanwhile, Australia and New Zealand have retained the top two positions. Australia, which won its fifth World Cup title in Melbourne last year, is now sitting on 124 points after dropping two points to lead New Zealand by 11 points. South Africa has swapped places with India to move into third position.Other sides to gain following the annual update include sixth-ranked England (103, up two), seventh-ranked Bangladesh (98, up one), eighth-ranked West Indies (88, up two), 10th-ranked Afghanistan (51, up four) and 11th-ranked Zimbabwe (47, up two). ",05-04-2016,Pakistan pushed out of Top 8 in ODI Ranking,cricket,KARACHI,Azhar;Azhar Ali;Ali,,ICC World Cricket League;ICC
"Real Madrid forward Cristiano Ronaldo is confident he will go down in history as one of the sports best players helped by his status as the Champions Leagues all-time top scorer.The three-time FIFA Ballon dOr winner has netted 93 goals in Europes elite club competition, including five hat-tricks.His closest rival is Barcelonas Lionel Messi, who is 10 goals behind him in the Champions League scoring charts.""I dont doubt that I will go down in footballing history. Whether people like it or not, the numbers speak for themselves. I will be up there with the rest,"" Ronaldo, 31, told the UEFA website (www.uefa.com) in an interview.""Some like it more, some like it less, but I have no doubt that Im already in the history of football. ""I always felt that I was a special player.Ive always worked hard, believed in my potential and Ive developed more and more as a player, as a person, as a human being.""Ronaldo has 16 Champions League goals this season, the most by any player in a single campaign, which has propelled 10-times European Cup winners Real to a semi-final with Manchester City.The Portugal international, who missed last weeks goalless first leg, will aim to extend his scoring record on Wednesday when Real and City battle at the Santiago Bernabeu for the right to face Atletico Madrid in the final in Milan on May 28. ""Its a privilege to know that Im the leading goalscorer of all time in the Champions League.Obviously, I feel very happy at having achieved that,"" the 31-year-old said.""Its a special competition and a competition that Real Madrid love.Ive been lucky enough to win it twice and obviously I want to win it more -- hopefully again this year.",05-04-2016,My place in football history is assured says Ronald,football,,Ronaldo;Barcelonas;Cristiano Ronaldo;Ive;Cristiano;Barcelonas Lionel Messi;Messi;Lionel,Ronald,Real Madrid;Manchester;UEFA;FIFA;Atletico Madrid
"ISLAMABAD: Defending Champions Pakistan recorded second consecutive victory in the ongoing 3rd Asian Kabaddi Championship (circle style) by defeating Sri Lanka by 56-23 points, POF Wah Cantt on late Tuesday.In the other matches played on Tuesday, India beat Afghanistan by 48-20 points while overcame Nepal by 31-14 points.",05-04-2016,Pakistan beat Sri Lanka in Asian Kabaddi,kabaddi,ISLAMABAD,,,POF Wah Cantt
"LONDON: Amir Khan will have to produce one of the greatest displays ever seen by a British boxer if he is to beat WBC middleweight champion Saul Alvarez in Las Vegas on Saturday, according to Ricky Hatton.The 29-year-old, like fellow Briton Hatton a former light-welterweight world champion, has moved up two weight divisions - putting on the best part of 10 kilos - to take on flame-haired Mexican Alvarez, whose only defeat in 48 fights came against Floyd Mayweather Jr in 2013.Khan is a huge underdog against Alvarez, nicknamed Canelo (the Spanish word for cinnamon) because of his hair, but Hatton believes he could pull off an upset.""Its a big ask. He has the tools to do it and I hope he does it, but its a massive, massive ask to keep out of trouble for 12 rounds against Alvarez who has improved so much since the Mayweather fight,"" Hatton told Reuters.""If he does pull it off, going from welterweight to middleweight and winning the title, it would be one of the best wins in British boxing history I think. ""Hatton knows firsthand the dangers of moving up a weight.He suffered his first career defeat when Mayweather knocked him out in a WBC welterweight world title bout in Las Vegas in 2007 and was never the same fighter again.According to the 37-year-old Hatton, who is now a boxing promoter having hung up his gloves in 2012, Khan must not get involved in a slug fest with the more powerful Alvarez and use his superior movement to stay out of trouble?""Its a fight that I didnt think would be made,"" said Hatton, whose stable includes upcoming British heavyweight Nathan Gorman.""Amir always has good fights, but he needs to make this one boring.""If he tries to have a go with this lad, I dont think he needs me to tell him, he needs to use his speed, move, move.The moment he stops moving those feet, he will be in trouble because Alvarez is a big puncher.""Hattons concern is that by putting on some extra pounds to move up, Khan may have slowed down for what will be his first fight in a year since beating American Chris Algieri.""I dont think its the hand speed. Its the foot speed. Amir is not a fighter like Mayweather, he is more straight backed. ""He has to use his feet to be defensive.",05-04-2016,Amir Khan would join British greats with Alvarez win H,boxing,LONDON,Khan;Gorman;Chris Algieri;Mayweather;Hatton;Algieri;Nathan;Saul Alvarez;Chris;Floyd;Alvarez;Saul;Canelo;Amir Khan;Jr;Amir;Ricky;Floyd Mayweather Jr;Nathan Gorman,Amir Khan;Alvarez;Saul Alvarez,WBC;Reuters
"ISLAMABAD: Former Australian fast bowler and ex Pakistan head coach Geoff Lawson believes Salman Butt can make a comeback for Pakistan saying he is highly motivated and is an outstanding talent.Lawson said Butt is still young and can make a comeback for Pakistan. When I was his coach he was an outstanding talent.That talent doesnt go away but it depends on how much you are motivated and how much you still want to do well.It wouldnt surprise me if Butt made a successful international comeback, Pakpassion.net quoted him as saying.Speaking about Muhammad Amir Lawson said he remembers Amir asa very young player who came to some of my practice sessions when I was coaching Pakistan.Amir was working with the Under 19s and even then looked very impressive.I am pleased that after a difficult period he has comeback bigger and stronger and is bowling terrifically well. It is also very good for Pakistan cricket that he is back he said.Talking about the attitude of some Pakistani players that has come into question after comments from some coaches Lawson said if people are not willing to work hard then there are enough good young players in Pakistan to replace them.Get people in who are motivated. If you arent playing for your country then there is no point in playing cricket.Pakistan has had some pretty successful times lately under Waqar Younis and Misbah ul Haq and one would hope that the players would continue to be motivated, he said.Commenting on the Day Night Test cricket he said he is surprised at the resistance of some countries.Well done to Pakistan in agreeing to play a Day Night Test match in Australia.The pink ball is not that different to a red ball in any case you just have to practice with it and its fine.We use red or white so why not use pink cricket balls Pakistan should be congratulated on agreeing to play in Australia with the pink ball he said.",05-04-2016,Salman Butt can make a successful comeback Geoff L,cricket,ISLAMABAD,Geoff Lawson;Geoff;Muhammad Amir Lawson;Amir;Misbah ul Haq;Younis;Butt;Lawson;Waqar;Misbah;Muhammad;Salman;ul;Haq;Salman Butt;Waqar Younis,Geoff L;Salman Butt,
"Leicester City have the chance of making anything between 150 million pounds and 250 million pounds from their sensational Premier League triumph, according to sports marketing experts.The city of Leicester in England's Midlands should also expect to enjoy a huge commercial boost after its hometown team wrote the unlikeliest of sporting success stories, one that has captured headlines around the world.Yet though the club known as the Foxes will gain this substantial windfall, they still have a long way to go to join the true big-money elite of world football.The club that had never won the top-flight crown in its history will cash in through the 90 million pounds in prize money from the Premier League, and money from competing in Europe's Champions League next season, as well as increased TV and match day revenue.With Leicester's increasing attraction to sponsors as the champions of the Premier League, which possesses remarkable global appeal, it could all be worth as much as 150 million pounds to the club, said the sports and entertainment intelligence firm, Repucom, on Tuesday.Other experts have put the estimates much higher with some British media reports suggesting that the figure could be much nearer 250 million pounds, particularly if Leicester's success proves to be more than a one-season wonder.Leicester's TV audiences have soared by over 23% globally this season and because of the excitement inspired by their run to the title, audiences in the UK have grown from 785,000 to over one million per game.In Italy, the numbers watching Leicester's games have doubled, largely thanks to the interest generated by the club being managed by Italian coach Claudio Ranieri.""Leicester's media values have jumped by 30 percent globally whilst in the U.S. they have grown by over 70 percent, showing first-hand the increase in value to current and potential sponsors,"" Repucom said.Leicester's first appearance in the lucrative Champions League will also make a vast difference to their coffers in the region of 36 million pounds.As well as increased TV exposure, it will generate increased revenues from group stage fees, a proportion of the competition's market pool and a participation bonus, totalling 33 million pounds, as well as 3 million pounds performance bonus.A story which had echoes of Leicester's triumph was Atletico Madrid's breaking of the Barcelona-Real Madrid duopoly to win La Liga in 2014.Based on the increased match day and commercial revenues that unlikely champions Atletico gleaned, Leicester can expect to see between 10 to 15 million pounds boost in that area.""Leicester City FC's real commercial potential will become clearer in the season break as brands vie to associate themselves to the club,"" Spencer Nolan, head of consulting at Repucom, said.So, much will depend, in the mid to long-term on how successful the club, owned by Thailand billionaire Vichai Srivaddhanaprabha, are in developing their fan base.Though their victory was greeted enthusiastically in Thailand, where Srivaddhanaprabha's family runs the duty-free empire King Power, their fan base is still not in the same league as the historic elite of the English game like Manchester United, Arsenal and Liverpool.Meanwhile, Leicester itself hopes for an economic boon, with the local newspaper, Leicester Mercury, reporting that financial experts believe the overall economy in the city could benefit to the tune of 49 million pounds.The numbers of visitors to the city have grown rapidly since the discovery of the remains of King Richard III in 2012 and now tourism chiefs hope that being the home of England's football champions will prove a draw card for Leicester too.",05-04-2016,Leicester stand to gain up to 250 million pound windf,football,Leicester City,Claudio Ranieri;Vichai Srivaddhanaprabha;Nolan;Richard III;Spencer Nolan;Srivaddhanaprabha;III;Spencer;Ranieri;Vichai;Claudio;Richard,,Leicester;Leicester City FC;Atletico Madrid;Repucom;King Power;Arsenal;Manchester United;Premier League;Atletico;Barcelona-Real Madrid
"NEW DELHI: Indian tennis star Sania Mirza has documented her journey to become the World No. 1 in the women's doubles rankings in an autobiography set for release in July this year, according topublishers Harper Collins.Titled, 'Ace against Odds,' the book has been penned by Sania with her father Imran Mirza.""Sania's is an extraordinary achievement and her autobiography is as compelling as it is inspirational. We are privileged to be able to work with her on the book,"" Karthika V K, Publisher and Chief Editor, Harper Collins told Times of India.The 29-year-old sportswoman, who shot to fame at the age of 16 after winning the Wimbledon's Championships Girls' Doubles title, was ranked as India's No. 1 player by the Women's Tennis Association, both in singles and doubles circuits.""I hope the book is a useful roadmap to guide the next generation of tennis players from India. If my story can inspire even one youngster to the heights of winning a Grand Slam in the future, I will feel blessed,"" says Sania Mirza.The autobiography chronicles her rise to the top, and is peppered with anecdotes where she talks about the difficulties and hardships as well as the joys and triumphs that came her way.Sania Mirza, who announced her retirement from the singles circuit in 2012 underwent a remarkable transformation between August 2015 and March 2016, during which she pocketed 41 consecutive wins with her doubles partner Martina Hingis, and went on to become the World No. 1 in the Women's Doubles rankings.The book also contains some memorable encounters of the player on and off the court and the people and relationships that have contributed to her growth as a person and a sportsperson.The tennis star who is married to Pakistani cricketer Shoaib Malik is among the highest paid and high profile athletes in the country.",05-04-2016,Ace Against Odds Sania Mirzas autobiography to hit stands this year,cricket,NEW DELHI,Sania Mirza.The;K;Shoaib Malik;Mirza.The;V;Sania Mirza;Hingis;Harper Collins;Karthika;Martina;Imran Mirza;Sania;Imran;Harper;Martina Hingis;Shoaib;Malik;Collins;Mirza;Karthika V K,,Times of India.The;Women's Tennis Association
"A young Afghan fan of Argentine soccer star Lionel Messi has fled his home and gone to Pakistan because his family feared he could be kidnapped after he became an unlikely Internet sensation, the boy's uncle said on Tuesday.Five-year-old Murtaza Ahmedi grabbed world headlines after being photographed in a shirt improvised from a plastic bag in the colours of the Argentine national team bearing Messi's name and number 10 playing number.After pictures of Murtaza went viral on social media, his family feared that after becoming famous worldwide, he could be abducted by kidnappers for ransom. His home is in the central region of Ghazni where security has been fragile and where kidnappings are common.""These people felt that the different gangster and terrorist groups in Afghanistan might kidnap him,"" his uncle Wahid Ahmedi said in the western Pakistani city of Quetta, where Murtaza's family have sought refuge.""There are such gangs that can kidnap him and then demand ransom. His father does not have so much money. That is why they have shifted from there (Afghanistan) to this place.""For the moment, Murtaza's dream of meeting his idol has not come true but his family said they continued to hope.""We request the government here, the Afghan government, the United Nations, and any Football Associations to fulfil Murtaza's wish of meeting Messi,"" Ahmedi said.",05-04-2016,Plastic shirt Messi fan flees Afghanistan over kidnap fear,football,,Wahid Ahmedi;Wahid;Lionel;Murtaza Ahmedi;Ahmedi;Lionel Messi;Messi;Murtaza,Messi;Lionel Messi,United Nations
"ISLAMABAD: Pakistan Cricket Board (PCB) will have to continue its hunt for the post of head coach as former Australian batsman Stuart Law, who was the top choice of the board for the position, declined to accept the offer.He had applied for a coaching position with us but he has now conveyed he is more interested in a consultants position and that he wouldnt be able to join the team immediately, a foreign news agency quoted the PCB Chairman Shahrayar Khan as saying.Law is already signed up by Cricket Australia as a batting consultant for the tour to Sri Lanka from July to September and apparently he has told the PCB he is also not available when Pakistan tour Australia in November-December this year.Now the board is in talks with former Scotland coach AndyMoles and Australian batsman Dean Jones.The 81-year old Shaharyar added that Law was unavailable to join up with the team immediately as well as not interested in a full-time position.He said PCB were now also talking to Moles and Jones although the BOG had some reservations over some candidates, the PCB chief said.The PCB Chairman also added that Moles would have to leave his current coaching assignments with the associate members he is currently involved with.What is of concern to us is that Moles left or had to leave coaching assignments with Kenya, Scotland, New Zealand and Afghanistan because of disagreements or discord with their boards or players the source said.We want the new coach to join the team before the tour to England from next month. Once the head coach is appointed we will also finalise the rest of the support staff with him, he added.",05-05-2016,PCBs hunt continues as Law declines head coachs ,cricket,ISLAMABAD,Stuart Law;Law;Jones.The;Khan;Moles;AndyMoles;Shahrayar;Dean;Dean Jones.The;Jones;Stuart;Shaharyar;Shahrayar Khan,,Cricket Australia;PCB
"KARACHI: West Indies opner Chris Gayle took a friendly jibe at Pakistans out of favoured opener Ahmed Shehzad.Shehzad took to Twitter to initiate a chat-session with his fans which got a jolyresponse from West Indies' superstar Chris Gayle. dir=""ltr"" lang=""en""> Ahmad Shahzad (@iamAhmadshahzad) <a href=""https://twitter.com/iamAhmadshahzad/status/727864023262371841"">May 4, 2016</aIn response to the tweet, Gayle, who had been teammates with the Pakistan opener at Jamaica Tallawahs during the inaugural edition of the Caribbean Premier League, asked Shehzad whether excessive selfies were the reason behind his axing from the Pakistan team. dir=""ltr"" lang=""en""> Chris Gayle (@henrygayle) <a href=""https://twitter.com/henrygayle/status/727866644039667713"">May 4, 2016</aShehzad is known for posing for selfies and his Twitter wall makes it evident. Gayle, who had shared the dressing room with him, was quick to use it against him. dir=""ltr"" lang=""en""> Chris Gayle (@henrygayle) <a href=""https://twitter.com/henrygayle/status/727878807928115200"">May 4, 2016</aShehzad was dropped for England tour due to issues with his attitude and discipline.Pakistans newly appointed chief-selector Inzamam-ul-Haq said he had spoken to all the selectors and other stakeholders of Pakistan cricket and also gone through the reports of the former coach and manager before taking the decision to drop Ahmed Shehzad and Umar Akmal from the side.",05-05-2016,Chris Gayle and Ahmed Shehzad friendly banter on social medi,cricket,KARACHI,Umar;Ahmed Shehzad;Akmal;Chris;Shehzad;Ahmed Shehzad.Shehzad;Ahmad Shahzad;Ahmed;Shahzad;Shehzad.Shehzad;Umar Akmal;Chris Gayle;Ahmad;Gayle;Inzamam-ul-Haq,Ahmed Shehzad;Chris Gayle,Caribbean Premier League
"LAS VEGAS: England's Amir Khan sparked loud roars of laughter ahead of his WBC middleweight title fight with Mexican Saul ""Canelo"" Alvarez on Saturday when he aimed a light-hearted verbal jab at Republican presidential candidate Donald Trump.""You never know, this could be the last fight for me and Canelo here, that's if Donald Trump becomes president so ...,"" Khan said before breaking off with a chuckle during a news conference at the MGM Grand in Las Vegas on Wednesday.As the entire room erupted with loud guffaws, cheers and whistling, Khan went on to say: ""You never know. You have to all tune in come Saturday.""Challenger Khan, a Muslim boxer with a 46-1-1 record including 32 knockouts, was speaking during the final news conference before Saturday's showdown at the T-Mobile Arena in Las Vegas.Khan made his comments the same day that Trump became the last man standing in the race for the Republican U.S. presidential nomination as the American's sole remaining rival, John Kasich, ended his campaign.Trump has made his party's establishment uneasy with his abrasive tone and policy positions, including his promise to build a wall on the U.S.-Mexican border, deport 11 million illegal immigrants and temporarily bar Muslims from entering the country.On a more serious pugilistic note, Khan pledged to show his fans ""the best of Amir Khan"" in the ring against Alvarez.""Canelo is a tough guy, he's strong but we are going to be ready for whatever he brings to the table,"" said the 29-year-old from Bolton, a two-time former world champion.""That's the reason I chose this fight because I really do believe I can win. He's a great champion, he's a credit to boxing but it's my time and I am going to grab it with both hands.""Renowned for his lightning hand and foot speed, Khan is a 5-1 underdog and will be taking on a bigger man in Alvarez, who is known for his punching power and has lost just once in 48 fights -- to undefeated American Floyd Mayweather Jr. in 2013.""I know what Amir Khan brings,"" said Alvarez, nicknamed 'Canelo' (the Spanish word for cinnamon) because of his red hair.""He is a very fast, very elusive, very tricky fighter, but I am confident with the work that's been done that I will be able to go in there and break this down.""",05-05-2016,This could be my last fight in US if Trump becomes president says Amir K,boxing,LAS VEGAS,Challenger Khan;Donald Trump;Jr.;John;Khan;Challenger;Donald;Mayweather;John Kasich;Floyd;Alvarez;Floyd Mayweather Jr.;Canelo;Amir Khan;Amir;Trump;Kasich;Bolton,Amir K;Trump;Donald Trump,WBC
"WAH CANTT: Pakistan defended their title in Asia Kabaddi Cup 2016 defeating India by 19 points here on Friday.They achieved 50 points against 31 by their arch rivals in the final of the tournament.Pakistan won the title for the second time in a row.Earlier, both Pakistan and India remained unbeaten in their pool matches of the tournament.Pakistan had won their pool matches against Iran, Afghanistan, Nepal and Sri Lanka.",05-06-2016,Pakistan beat India to retain Asia Kabaddi Cu,kabaddi,WAH CANTT,,,
